source,target,weight,start,end
E012,E064,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E065,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E012,E066,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E012,E067,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E012,E069,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E012,E070,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E075,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E076,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E077,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E078,1,1886-10-03T00:00:00,1886-10-03T00:00:00
E012,E080,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E012,E081,1,1886-09-21T00:00:00,1886-09-21T00:00:00
E012,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E012,E086,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E013,E020,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E013,E024,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E013,E026,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E013,E032,2,1886-09-14T00:00:00,1886-09-25T00:00:00
E013,E033,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E036,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E037,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E039,2,1886-09-14T00:00:00,1886-09-25T00:00:00
E013,E047,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E013,E051,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E052,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E058,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E013,E059,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E060,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E062,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E069,1,1886-09-14T00:00:00,1886-09-14T00:00:00
E013,E073,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E074,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E013,E087,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E014,E015,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E024,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E031,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E039,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E053,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E064,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E070,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E075,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E076,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E077,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E083,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E014,E084,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E023,1,1886-09-20T00:00:00,1886-09-20T00:00:00
E015,E024,3,1886-09-25T00:00:00,1886-09-29T00:00:00
E015,E031,2,1886-09-25T00:00:00,1886-09-26T00:00:00
E015,E038,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E015,E039,3,1886-09-20T00:00:00,1886-09-29T00:00:00
E015,E053,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E059,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E015,E063,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E015,E064,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E065,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E015,E066,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E015,E067,1,1886-09-29T00:00:00,1886-09-29T00:00:00
E015,E070,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E074,1,1886-09-25T00:00:00,1886-09-25T00:00:00
E015,E075,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E076,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E077,1,1886-09-26T00:00:00,1886-09-26T00:00:00
E015,E082,1,1886-09-26T00:00:00,1886-09-26T00:00:00
