Source,Target,Type,Id,Label,timeset,Weight,Source_Type,Target_Type
E009,E137,Undirected,309,,<[-2606256000000.0]>,1,,
E009,E138,Undirected,310,,<[-2606256000000.0]>,1,,
E009,E139,Undirected,311,,<[-2606256000000.0]>,1,,
E009,E140,Undirected,312,,<[-2606256000000.0]>,1,,
E009,E147,Undirected,313,,<[-2606256000000.0]>,1,,
E009,E148,Undirected,314,,<[-2606256000000.0]>,1,,
E010,E015,Undirected,315,,<[-2606256000000.0]>,1,,
E010,E016,Undirected,316,,<[-2606256000000.0]>,1,,
E010,E017,Undirected,317,,<[-2606256000000.0]>,1,,
E010,E018,Undirected,318,,<[-2606256000000.0]>,1,,
E010,E019,Undirected,319,,<[-2606256000000.0]>,1,,
E010,E025,Undirected,320,,<[-2606256000000.0]>,1,,
E010,E027,Undirected,321,,<[-2606256000000.0]>,1,,
E010,E031,Undirected,322,,<[-2606256000000.0]>,1,,
E010,E032,Undirected,323,,<[-2606256000000.0]>,1,,
E010,E033,Undirected,324,,<[-2606256000000.0]>,1,,
E010,E034,Undirected,325,,<[-2606256000000.0]>,1,,
E010,E039,Undirected,326,,<[-2606256000000.0]>,1,,
E010,E040,Undirected,327,,<[-2606256000000.0]>,1,,
E010,E041,Undirected,328,,<[-2606256000000.0]>,1,,
E010,E042,Undirected,329,,<[-2606256000000.0]>,1,,
E010,E043,Undirected,330,,<[-2606256000000.0]>,1,,
E010,E052,Undirected,331,,<[-2606256000000.0]>,1,,
E010,E053,Undirected,332,,<[-2606256000000.0]>,1,,
E010,E054,Undirected,333,,<[-2606256000000.0]>,1,,
E010,E055,Undirected,334,,<[-2606256000000.0]>,1,,
E010,E061,Undirected,335,,<[-2606256000000.0]>,1,,
E010,E062,Undirected,336,,<[-2606256000000.0]>,1,,
E010,E063,Undirected,337,,<[-2606256000000.0]>,1,,
E010,E064,Undirected,338,,<[-2606256000000.0]>,1,,
E010,E065,Undirected,339,,<[-2606256000000.0]>,1,,
E010,E074,Undirected,340,,<[-2606256000000.0]>,1,,
E010,E075,Undirected,341,,<[-2606256000000.0]>,1,,
E010,E076,Undirected,342,,<[-2606256000000.0]>,1,,
E010,E081,Undirected,343,,<[-2606256000000.0]>,1,,
E010,E082,Undirected,344,,<[-2606256000000.0]>,1,,
E010,E085,Undirected,345,,<[-2606256000000.0]>,1,,
E010,E096,Undirected,346,,<[-2606256000000.0]>,1,,
E010,E097,Undirected,347,,<[-2606256000000.0]>,1,,
